Function,File,Line,Time (s),Relative Scale (×min)
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000012,12.75
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000017,18.00
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000595,623.75
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000632,662.50
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000012,12.50
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000020,20.75
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000014,14.25
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000026,27.50
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000016,16.75
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000017,18.00
assign_coordinates,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,295,0.000026,27.75
parse_function_args,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,335,0.000072,75.75
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000005,5.00
safe_eval,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,339,0.000003,3.25
parse_single_code_from_string,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,44,0.000015,15.50
sanitize_code,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,85,0.000002,2.25
extract_first_agent_function,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,98,0.000009,9.00
type,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\grounding.py,412,0.000007,7.25
flush_messages,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,75,0.000048,50.75
exec,c:\Users\HP\Desktop\agentWordle\yudi.py,46,0.000028,29.75
screenshot,c:\Users\HP\Desktop\agentWordle\yudi.py,39,0.000052,54.50
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000494,518.25
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000529,554.50
generate_next_action,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\worker.py,101,0.000561,588.75
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000013,13.25
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000020,20.50
predict,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\agents\agent_s.py,84,0.000607,637.00
generate,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\engine.py,169,0.000013,13.50
split_thinking_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,29,0.000016,17.00
encode_image,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,52,0.000584,612.75
add_message,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,112,0.000675,708.00
get_response,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\core\mllm.py,274,0.000011,11.25
call_llm_safe,c:\Users\HP\Desktop\agentWordle\gui_agents\s2_5\utils\common_utils.py,7,0.000018,19.25
